mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
38	java.awt.Dimension	0.13333231	-0.26124856	0.62188727	0.38873264	0.24118632	-0.16469648	0.6193691	-0.2589887	0.38190064	-0.064298145	0.9722652	-0.92985547	0.16600479	-0.12404889	-0.10975485	-0.08415482	-0.47119185	0.5799699	0.08003697	0.0060138316	0.034875937	0.46044797	0.5594777	0.5964067	0.32384023	-0.48285562	-0.45699176	-0.4846152	0.26739907	-0.5328169	-0.20911832	-0.030094648	2
39	java.awt.DisplayMode	-0.078934096	0.21058913	0.23370616	0.31763995	-0.09379675	-0.29224986	0.15990028	0.19401032	-0.37071958	0.021700563	-0.026149021	0.31668237	0.10800643	0.34011683	0.08108824	-0.2800409	0.22773197	0.39623398	-0.29115805	-0.10617094	0.34652743	0.52423966	0.4499113	-0.19116853	0.022711335	-0.19497357	-0.7405458	0.23304056	-0.13449514	0.1012523	-0.6760561	-0.2933916	2
40	java.awt.Event	-0.3882727	-0.81172216	0.2151399	-0.013905107	-0.008578905	-0.0944242	0.24430104	-0.51147735	-0.015017808	-0.10976266	0.2861181	-0.65273476	0.09477848	-0.041626275	-0.060754556	0.035531614	-0.10657019	0.6833373	-0.1758213	0.2941332	0.25211328	0.43587357	0.8103338	-0.32818833	0.15557423	0.2862622	-0.18990815	-0.7206647	0.4855071	-0.41051117	-0.84808695	0.46668288	2
41	java.awt.EventDispatchThread	-0.6350837	0.25572652	-0.0467284	0.9602831	0.36752865	-0.3100456	0.16511014	0.64592224	0.07216226	0.51285	-0.52240795	-0.18742211	-0.13298088	-0.0231919	-0.7623559	0.03581945	-0.49552184	-0.12642042	-0.25421706	0.51096225	-0.0037588344	0.2925598	0.41887572	-0.45307142	0.035130154	0.096675865	-0.508619	-0.616255	0.15778144	0.070142716	0.085407056	0.29198167	2
42	java.awt.EventFilter	0.90437883	-0.6352169	1.0016423	0.24912642	-0.48525375	-0.46183038	-0.11698801	-0.45528272	-0.120299965	0.34713694	0.07628573	-0.2190548	-0.9512883	-0.04701447	0.35026473	-0.101076365	-0.11179405	0.21840936	-0.14636616	-0.58578396	-0.16648974	0.6637058	0.5622795	-0.26402396	-0.15779431	0.067018114	-0.9168194	-0.67418283	0.06569134	-0.8520996	-1.3133398	0.22296296	2
43	java.awt.EventQueue	0.22121628	0.15873766	0.39665502	0.4642665	-0.1229436	-0.026452508	0.50453824	0.02833377	0.33952406	-0.20758167	-0.014028077	-0.56496173	-1.0134385	-0.20026572	-0.44757172	-0.11784814	-0.5224448	0.27611798	-0.2395045	-0.09912283	0.06725327	0.17744963	0.45584983	-0.23290972	-0.23801428	0.26139182	-0.543595	-0.23222524	-0.5403968	-0.30892664	-0.64486057	0.073485464	2
44	java.awt.EventQueueItem	-0.0005000445	-0.16015223	0.16868852	0.43282044	-0.06432852	-0.18378945	0.2285464	-0.114144236	-0.45919788	0.035039805	0.00050750904	0.22292805	-0.06090034	-0.066747956	-0.11243553	-0.14995871	-0.018068567	-0.07462306	0.12184158	0.3195639	0.41325614	0.5034478	0.05124837	-0.21114247	-0.14862426	-0.17498057	-0.22984947	-0.06758108	0.02628886	-0.15551576	-0.06993407	0.11590796	2
45	java.awt.FileDialog	-0.10897555	-0.6081511	0.6154503	-0.048779577	0.37093174	0.021335643	0.06236528	-0.09378748	0.27139297	0.1075893	0.16777994	-0.26019254	0.30820495	-0.9219326	0.0017884113	-0.28934142	-0.3845157	0.7312477	-0.07144739	0.60202897	0.1929983	0.09466683	0.5173124	0.15656602	0.58941275	0.18301907	-0.46467274	-0.12634939	0.098844305	-0.30865797	-0.7609236	0.11532421	2
46	java.awt.FlowLayout	0.13326244	-0.27374253	0.086772144	0.538055	-0.18772171	-0.04486162	-0.12698613	-0.24991858	0.019002387	-0.011261128	0.9318264	-0.65892774	0.34274513	0.13905445	-0.27779087	-0.5009397	-0.4432263	0.8206385	0.058335863	0.14283904	0.53895724	0.4131127	0.22708037	0.055871308	0.48713982	-0.3338929	-0.1815615	-0.13750555	0.23281556	-0.10987284	-0.12539642	-0.13130003	2
47	java.awt.FocusManager	0.2890787	-0.1445081	0.057812124	0.50574434	-0.022632444	-0.13608922	0.4368522	-0.007238017	-0.23401792	0.10983916	0.22573048	-0.18971166	-0.03890747	-0.031107366	-0.44826844	-0.20110005	0.012048067	0.29903308	-0.109497555	0.07860163	0.3769312	0.29993653	-0.2509092	-0.36721152	0.14852042	-0.34044144	-0.13582085	0.12091473	0.4109407	-0.03725328	-0.12618342	0.1347161	2
