mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
41	Tone Vidmar	0.6303349	-0.6589206	-0.121532016	0.2772618	0.7169246	-0.10094883	-0.92767316	1.242535	-0.7950148	-0.29641378	0.87648296	-0.27166367	-0.5635932	-0.24707927	-0.8661919	0.67867583	0.18253095	-0.25316468	0.21153569	1.5022486	0.11217888	0.6865044	-0.5270558	-0.40810844	-1.3691063	0.46879092	-0.98874277	-0.71080554	0.44962814	-0.44437057	0.22414209	-0.628049	1
42	Senta Šetinc	-0.018693157	0.010312781	-0.023369566	-0.014284782	0.0076428056	-0.025380917	0.0019887835	0.010802366	0.029102921	-0.016237393	-0.00957153	0.029836036	0.013294548	0.012475364	0.010717072	0.005667381	0.015906975	-0.007848531	0.007087201	-0.00089912117	0.020526804	-0.023612842	0.020546764	-0.002144508	-0.030210018	-0.02278401	0.019810587	-0.018953934	0.015976325	0.030190699	0.014110699	-0.028097384	5
43	Peter Kokol	0.27220568	-0.30677378	-0.89591175	-0.03959888	0.4340648	-0.18776996	0.2720749	0.57577175	-0.71009606	0.009510519	1.2044764	-0.28067535	0.151505	0.85604566	0.5469567	-0.04886634	-0.06341416	0.27795517	-0.13409609	-0.26736066	-0.77898246	0.35597324	0.5532777	-0.44549936	-0.2653059	-0.4286587	-0.091765955	-0.71033937	0.86362857	-0.71818054	0.24672581	-0.6026474	0
44	Nikola Guid	0.24696478	-0.30450854	-1.2345638	-0.6522554	0.88291955	-0.18834095	0.7545901	0.6150954	-0.468729	0.19751106	1.0799234	-0.18050009	-0.2513882	0.95183045	0.113929264	-0.6872428	0.25326937	-0.39220774	-0.10502982	-0.22785348	0.48195228	0.2208959	-0.91357976	-0.58078116	-0.43538222	-0.4409008	-0.99744606	-0.8858087	-0.5751656	-0.89326507	-0.10411651	-0.18908972	3
45	Igor Škraba	0.85196924	-0.8939388	-0.6967571	0.45255125	0.4137455	-0.22644249	-0.36722714	0.85215724	0.26931065	0.103924386	0.6055417	0.12131346	-0.2440579	1.3648341	-0.44315717	-0.9796536	0.23334022	0.4237365	-0.67600256	1.1434332	-0.5982083	0.83542997	0.29636276	0.39174154	0.43454736	0.30454108	-0.86701435	-0.5677077	1.2714394	0.49428055	0.12567502	0.89879495	1
46	Tomaž Mohorič	-0.09034693	-0.8163383	-0.25884005	0.1811957	-0.12833816	-0.8851186	0.40309954	-0.13565111	0.36070672	-0.3810523	0.3848285	-0.59567463	0.24544294	0.7056085	0.2720874	-0.7902206	-0.10489155	0.2304685	-0.7846662	0.5998834	-0.46154323	-0.13759322	-0.45526046	-0.031487346	-0.013412509	-0.17550004	-1.0171677	-0.76690894	0.6325982	-0.12549932	-0.648663	0.8611247	5
47	Eva Klemenčič	-0.06409713	-0.73598754	-0.47397518	-0.7463027	0.69157434	-0.72495157	-0.5822572	0.44247752	-0.13055357	-0.30132252	-0.19166541	-0.6357753	0.31540078	0.23984136	-0.6143302	-0.41613922	0.005067538	0.16877668	-0.14819375	1.0862513	0.8114041	0.3358901	0.84606355	0.18150905	0.6255167	-0.60878325	-1.133751	-0.37593377	-0.34124914	-0.09211891	-0.5400116	-0.5399137	5
48	Jure Dimec	0.042183712	-0.31209928	-0.71129686	-0.21136935	0.11401588	-0.5984588	0.0036310514	-0.08304484	0.25760242	-0.44009015	0.3324485	-0.48623475	0.31527218	0.31503734	-0.2802144	-0.45178837	-0.21959426	0.5374433	0.111524135	0.90476596	-0.0727895	0.8588714	1.1766875	0.1328844	0.5991866	-0.44155297	-0.5495857	-0.37575853	0.49937674	0.25336516	-0.5399595	-0.053583648	5
49	Bojan Novak	0.07671398	-0.1850472	-0.61001605	-0.12381856	1.0810928	0.2938799	0.3854037	0.61449337	-0.5131127	-0.63283217	1.182804	-0.54566747	0.26244694	0.5766837	0.70113975	-0.15652613	0.23560801	0.6516721	-0.06639637	0.052229755	-0.58997536	0.23950857	-0.0144125745	0.026667845	-0.5637856	-0.4122962	-0.5529778	-0.8151953	0.22364685	-0.6026546	0.40844876	-0.11963813	5
50	Alojz Urbajs	1.0071307	0.31011802	-1.2048575	-0.74497277	1.8404521	-1.4000779	-0.7858606	1.0459611	-1.2821404	-0.50334567	-0.17222637	-0.58116466	-0.6986482	0.56508744	-1.0760897	-0.0032819456	1.7019815	1.6715721	-0.06063587	1.1507834	0.47988567	0.58908504	-0.70297486	-0.060046744	-0.15854652	-1.5128477	-0.8539187	-0.6669263	0.21731086	-0.22174497	1.3950789	0.36591175	5
51	Branko Zebec	0.925678	0.4174982	-1.0859439	-0.89487135	1.8218867	-1.3629912	-0.7182143	0.7632624	-1.3339196	-0.5869976	-0.22339183	-0.5413725	-0.64797586	0.9347224	-0.969678	-0.026593963	1.4006896	1.5846728	-0.057763886	1.1980487	0.5074364	0.61481786	-0.746003	-0.112007186	-0.32497302	-1.3000296	-0.586329	-0.5658046	0.22586414	-0.13001867	1.1119697	0.29441267	0
52	Igor Kononenko	0.5468156	-1.2192761	0.23844169	-0.12806648	0.7257859	-0.3545587	-0.32039103	-0.33311528	-0.45283264	-0.21549584	0.21227053	-0.5447262	0.013744818	-0.28221476	-0.102664284	0.20422506	-0.1855578	-0.49481907	-0.24733008	1.3426641	-0.520888	0.4838426	-0.008670875	0.0026981153	-0.12523277	0.03733965	-1.072986	0.07495027	0.13205233	-0.11828024	-0.35486984	-0.26469508	7
53	Slavko Mavrič	0.92595714	-0.61868155	-0.45805573	-0.486467	0.10640736	-0.6195332	-0.83456	0.61796117	-0.07341708	-0.27129593	1.0663556	-0.60655165	-0.0027967677	0.9092302	-1.2307371	-0.8984339	0.20526068	0.6176747	-0.17558151	0.24208134	0.5433339	0.40170088	-0.30400014	0.17513607	0.71629924	0.090745024	-1.3249056	0.17733638	0.057415355	0.33658606	-0.35657206	0.14884788	7
54	Jana Bradač	0.30806553	-0.82706237	-0.6649847	-0.9519572	0.7811125	-1.1803409	-0.18387768	0.72412217	-0.94522816	-0.3470641	1.1802151	-0.58074707	0.14888613	0.88976485	-0.18940502	-0.15930448	-0.020759236	0.19527401	-0.3117299	1.2816136	0.29359728	1.0792567	-0.39262024	-0.7234099	-0.2901047	-0.9134482	-1.0315344	-0.46385905	0.9589483	-1.0077912	0.118762575	-0.0058040903	5
55	Tatjana Zrimec	0.80789393	-1.1180254	0.22945607	0.24495666	0.06321789	-0.57544225	-0.3522953	-0.15694979	-0.6217105	-0.56420046	0.45191145	-0.7141009	0.28415763	0.12489675	0.040650994	-0.04880588	-0.4889544	0.17151609	-0.7577723	1.5753385	-0.41361672	-0.03995871	0.4217225	0.16259949	-0.17078808	0.2784549	-0.35621315	0.005586996	0.6002421	-0.17650715	0.18476151	-0.46837014	0
56	Tanja Urbančič	-0.48202595	-0.7466537	0.19941081	-0.009423902	0.63712406	-0.912735	-0.39876884	0.520849	-0.3693854	0.1712185	0.18967691	-0.16661607	0.21482147	0.009767725	-0.2605852	-0.81506926	-0.33193025	-0.07557038	-0.34989166	0.2320819	0.42812136	0.5071682	0.66116077	-0.6547256	0.014677274	-0.597125	-1.3355397	0.20771565	-0.14104311	0.17013614	-0.1845121	-0.47936887	7
57	Davor Bonačić	0.43286335	-0.22633232	-0.16742049	-0.29647171	0.77947164	-0.25616708	0.55158156	0.032027524	-0.25986537	-0.99710125	1.5463092	-0.036240663	0.40697265	1.0685226	0.4422501	0.19895302	0.17944887	-0.16231832	-0.79611737	0.31777254	-0.16335385	0.13834284	0.18560676	-0.21155296	-0.5147845	-0.14388888	-0.13281749	-0.8165695	0.79561627	-1.1742764	1.0721685	0.055068336	5
