V1.ime	V2.priimek	V3.AvtID	V4.OpisVloga	V5.kjluc	V6.organiz	V7.COBISS	V8	V9.STATUS1	V10.STATUS2	V11.POD	V12.DIS	V13.VED	V14.leto	V15.tip	V16.vloga	V17.stAvt	V18.samo	V19.vdisc	V20.medDisc	V21.izven	V22.tipTock	V23.tocke	vrstniRed	V25.starost	V26.Dr	V27.spol	V28	V29.excellent	V30.ResGroup
Dikran N.	Dikranjan	28252	avtor	28252/14085721	4-016	14085721	main	ACT	RSR	2	1	1	2005	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A4 (Z1)	19.54	2477991	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14230361	NA	14230361	main	ACT	RSR	2	1	1	2006	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1C (Z2)	10.0	2477994	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14230617	NA	14230617	main	ACT	RSR	2	1	1	2006	1.01	R.1	2	0	0.25	0.25	0.25	1C (Z2)	15.0	2477997	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14101081	NA	14101081	main	ACT	RSR	2	1	1	2006	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A2 (Z1)	28.8	2478000	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14498649	NA	14498649	main	ACT	RSR	2	1	1	2006	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1C (Z2)	10.0	2478003	1980	1	M	Z2	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14085209	NA	14085209	main	ACT	RSR	2	1	1	2006	1.01	R.1	1	1	0.0	0.0	0.0	1A3 (Z1)	67.43	2478005	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14100569	NA	14100569	main	ACT	RSR	2	1	1	2006	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	22.48	2478006	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14100825	NA	14100825	main	ACT	RSR	2	1	1	2006	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A3 (Z1)	22.48	2478010	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14497881	NA	14497881	main	ACT	RSR	2	1	1	2007	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A2 (Z1)	27.11	2478012	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14171225	NA	14171225	main	ACT	RSR	2	1	1	2007	1.01	R.1	2	0	0.25	0.25	0.25	1A2 (Z1)	47.16	2478015	1980	1	M	Z1	NA	2
Dikran N.	Dikranjan	28252	avtor	28252/14498137	NA	14498137	main	ACT	RSR	2	1	1	2007	1.01	R.1	2	0	0.25	0.25	0.25	1A3 (Z1)	33.06	2478017	1980	1	M	Z1	NA	2
